Ano de Ano;Label Padro;Location (group);UF/Regiao;Measure Val
2014; padronizada por idade;States;Amapa;0,7
2014; padronizada por idade;States;Santa Catarina;0,9
2014; padronizada por idade;States;Sao Paulo;0,9
2014; padronizada por idade;States;Amazonas;1
2014; padronizada por idade;States;Goias;1
2014; padronizada por idade;States;Mato Grosso;1
2014; padronizada por idade;States;Para;1
2014; padronizada por idade;States;Mato Grosso do Sul;1,1
2014; padronizada por idade;States;Minas Gerais;1,1
2014; padronizada por idade;States;Parana;1,1
2014; padronizada por idade;States;Rio de Janeiro;1,1
2014; padronizada por idade;States;Rondonia;1,1
2014; padronizada por idade;States;Acre;1,2
2014; padronizada por idade;States;Distrito Federal;1,2
2014; padronizada por idade;States;Maranhao;1,3
2014; padronizada por idade;States;Paraiba;1,3
2014; padronizada por idade;States;Rio Grande do Sul;1,3
2014; padronizada por idade;States;Espirito Santo;1,5
2014; padronizada por idade;States;Tocantins;1,5
2014; padronizada por idade;States;Bahia;1,6
2014; padronizada por idade;States;Rio Grande do Norte;1,6
2014; padronizada por idade;States;Roraima;1,6
2014; padronizada por idade;States;Pernambuco;1,7
2014; padronizada por idade;States;Piaui;1,7
2014; padronizada por idade;States;Alagoas;1,8
2014; padronizada por idade;States;Sergipe;1,8
2014; padronizada por idade;States;Ceara;2
